id_municipio,id_microregiao
3500105,35001
3500204,35002
3500303,35003
3500402,35004
3500501,35005
3500550,35005
3500600,35006
3500709,35007
3500758,35007
3500808,35008
3500907,35009
3501004,35010
3501103,35011
3501152,35011
3501202,35012
3501301,35013
3501400,35014
3501509,35015
3501608,35016
3501707,35017
3501806,35018
3501905,35019
3502002,35020
3502101,35021
3502200,35022
3502309,35023
3502408,35024
3502507,35025
3502606,35026
3502705,35027
3502754,35027
3502804,35028
3502903,35029
3503000,35030
3503109,35031
3503158,35031
3503208,35032
3503307,35033
3503356,35033
3503406,35034
3503505,35035
3503604,35036
3503703,35037
3503802,35038
3503901,35039
3503950,35039
3504008,35040
3504107,35041
3504206,35042
3504305,35043
3504404,35044
3504503,35045
3504602,35046
3504701,35047
3504800,35048
3504909,35049
3505005,35050
3505104,35051
3505203,35052
3505302,35053
3505351,35053
3505401,35054
3505500,35055
3505609,35056
3505708,35057
3505807,35058
3505906,35059
3506003,35060
3506102,35061
3506201,35062
3506300,35063
3506359,35063
3506409,35064
3506508,35065
3506607,35066
3506706,35067
3506805,35068
3506904,35069
3507001,35070
3507100,35071
3507159,35071
3507209,35072
3507308,35073
3507407,35074
3507456,35074
3507506,35075
3507605,35076
3507704,35077
3507753,35077
3507803,35078
3507902,35079
3508009,35080
3508108,35081
3508207,35082
3508306,35083
3508405,35084
3508504,35085
3508603,35086
3508702,35087
3508801,35088
3508900,35089
3509007,35090
3509106,35091
3509205,35092
3509254,35092
3509304,35093
3509403,35094
3509452,35094
3509502,35095
3509601,35096
3509700,35097
3509809,35098
3509908,35099
3509957,35099
3510005,35100
3510104,35101
3510153,35101
3510203,35102
3510302,35103
3510401,35104
3510500,35105
3510609,35106
3510708,35107
3510807,35108
3510906,35109
3511003,35110
3511102,35111
3511201,35112
3511300,35113
3511409,35114
3511508,35115
3511607,35116
3511706,35117
3511904,35119
3512001,35120
3512100,35121
3512209,35122
3512308,35123
3512407,35124
3512506,35125
3512605,35126
3512704,35127
3512803,35128
3512902,35129
3513009,35130
3513108,35131
3513207,35132
3513306,35133
3513405,35134
3513504,35135
3513603,35136
3513702,35137
3513801,35138
3513850,35138
3513900,35139
3514007,35140
3514106,35141
3514205,35142
3514304,35143
3514403,35144
3514502,35145
3514601,35146
3514700,35147
3514809,35148
3514908,35149
3514924,35149
3514957,35149
3515004,35150
3515103,35151
3515129,35151
3515152,35151
3515186,35151
3515194,35151
3515202,35152
3515301,35153
3515350,35153
3515400,35154
3515509,35155
