id_municipio,id_ugrhi,nome_ugrhi
3500105,21,Peixe
3500204,16,Tietê / Batalha
3500303,9,Mogi-Guaçu
3500402,9,Mogi-Guaçu
3500501,9,Mogi-Guaçu
3500550,17,Médio Paranapanema
3500600,5,Piracicaba / Capivari / Jundiaí
3500709,13,Tietê / Jacaré
3500758,10,Tietê / Sorocaba
3500808,21,Peixe
3500907,12,Baixo Pardo / Grande
3501004,4,Pardo
3501103,19,Baixo Tietê
3501152,10,Tietê / Sorocaba
3501202,15,Turvo / Grande
3501301,21,Peixe
3501400,20,Aguapeí
3501509,17,Médio Paranapanema
3501608,5,Piracicaba / Capivari / Jundiaí
3501707,9,Mogi-Guaçu
3501806,15,Turvo / Grande
3501905,5,Piracicaba / Capivari / Jundiaí
3502002,5,Piracicaba / Capivari / Jundiaí
3502101,19,Baixo Tietê
3502200,14,Alto Paranapanema
3502309,10,Tietê / Sorocaba
3502408,22,Pontal do Paranapanema
3502507,2,Paraíba do Sul
3502606,18,São José dos Dourados
3502705,11,Ribeira de Iguape / Litoral Sul
3502754,10,Tietê / Sorocaba
3502804,19,Baixo Tietê
3502903,10,Tietê / Sorocaba
3503000,8,Sapucaí / Grande
3503109,14,Alto Paranapanema
3503158,2,Paraíba do Sul
3503208,13,Tietê / Jacaré
3503307,9,Mogi-Guaçu
3503356,20,Aguapeí
3503406,13,Tietê / Jacaré
3503505,2,Paraíba do Sul
3503604,13,Tietê / Jacaré
3503703,15,Turvo / Grande
3503802,5,Piracicaba / Capivari / Jundiaí
3503901,6,Alto Tietê
3503950,15,Turvo / Grande
3504008,17,Médio Paranapanema
3504107,5,Piracicaba / Capivari / Jundiaí
3504206,18,São José dos Dourados
3504305,16,Tietê / Batalha
3504404,19,Baixo Tietê
3504503,17,Médio Paranapanema
3504602,16,Tietê / Batalha
3504701,16,Tietê / Batalha
3504800,15,Turvo / Grande
3504909,2,Paraíba do Sul
3505005,14,Alto Paranapanema
3505104,19,Baixo Tietê
3505203,13,Tietê / Jacaré
3505302,13,Tietê / Jacaré
3505351,11,Ribeira de Iguape / Litoral Sul
3505401,11,Ribeira de Iguape / Litoral Sul
3505500,12,Baixo Pardo / Grande
3505609,9,Mogi-Guaçu
3505708,6,Alto Tietê
3505807,21,Peixe
3505906,8,Sapucaí / Grande
3506003,13,Tietê / Jacaré
3506102,12,Baixo Pardo / Grande
3506201,19,Baixo Tietê
3506300,14,Alto Paranapanema
3506359,7,Baixada Santista
3506409,19,Baixo Tietê
3506508,19,Baixo Tietê
3506607,6,Alto Tietê
3506706,13,Tietê / Jacaré
3506805,13,Tietê / Jacaré
3506904,10,Tietê / Sorocaba
3507001,10,Tietê / Sorocaba
3507100,5,Piracicaba / Capivari / Jundiaí
3507159,14,Alto Paranapanema
3507209,21,Peixe
3507308,13,Tietê / Jacaré
3507407,16,Tietê / Batalha
3507456,13,Tietê / Jacaré
3507506,10,Tietê / Sorocaba
3507605,5,Piracicaba / Capivari / Jundiaí
3507704,19,Baixo Tietê
3507753,19,Baixo Tietê
3507803,4,Pardo
3507902,13,Tietê / Jacaré
3508009,14,Alto Paranapanema
3508108,19,Baixo Tietê
3508207,8,Sapucaí / Grande
3508306,17,Médio Paranapanema
3508405,10,Tietê / Sorocaba
3508504,2,Paraíba do Sul
3508603,2,Paraíba do Sul
3508702,4,Pardo
3508801,16,Tietê / Batalha
3508900,21,Peixe
3509007,6,Alto Tietê
3509106,22,Pontal do Paranapanema
3509205,6,Alto Tietê
3509254,11,Ribeira de Iguape / Litoral Sul
3509304,15,Turvo / Grande
3509403,4,Pardo
3509452,14,Alto Paranapanema
3509502,5,Piracicaba / Capivari / Jundiaí
3509601,5,Piracicaba / Capivari / Jundiaí
3509700,1,Mantiqueira
3509809,17,Médio Paranapanema
3509908,11,Ribeira de Iguape / Litoral Sul
3509957,2,Paraíba do Sul
3510005,17,Médio Paranapanema
3510104,15,Turvo / Grande
3510153,17,Médio Paranapanema
3510203,14,Alto Paranapanema
3510302,10,Tietê / Sorocaba
3510401,5,Piracicaba / Capivari / Jundiaí
3510500,3,Litoral Norte
3510609,6,Alto Tietê
3510708,15,Turvo / Grande
3510807,4,Pardo
3510906,4,Pardo
3511003,19,Baixo Tietê
3511102,15,Turvo / Grande
3511201,15,Turvo / Grande
3511300,15,Turvo / Grande
3511409,17,Médio Paranapanema
3511508,10,Tietê / Sorocaba
3511607,10,Tietê / Sorocaba
3511706,5,Piracicaba / Capivari / Jundiaí
3511904,20,Aguapeí
3512001,12,Baixo Pardo / Grande
3512100,12,Baixo Pardo / Grande
3512209,9,Mogi-Guaçu
3512308,10,Tietê / Sorocaba
3512407,5,Piracicaba / Capivari / Jundiaí
3512506,19,Baixo Tietê
3512605,14,Alto Paranapanema
3512704,5,Piracicaba / Capivari / Jundiaí
3512803,5,Piracicaba / Capivari / Jundiaí
3512902,15,Turvo / Grande
3513009,6,Alto Tietê
3513108,4,Pardo
3513207,8,Sapucaí / Grande
3513306,17,Médio Paranapanema
3513405,2,Paraíba do Sul
3513504,7,Baixada Santista
3513603,2,Paraíba do Sul
3513702,9,Mogi-Guaçu
3513801,6,Alto Tietê
3513850,18,São José dos Dourados
3513900,4,Pardo
3514007,16,Tietê / Batalha
3514106,13,Tietê / Jacaré
3514205,15,Turvo / Grande
3514304,13,Tietê / Jacaré
3514403,20,Aguapeí
3514502,17,Médio Paranapanema
3514601,9,Mogi-Guaçu
3514700,17,Médio Paranapanema
3514809,11,Ribeira de Iguape / Litoral Sul
3514908,5,Piracicaba / Capivari / Jundiaí
3514924,16,Tietê / Batalha
